Course,stress_display_F3,stress_display_F4,fadiga_display,lateralization_display,stress_solutions_F3,stress_solutions_F4,fadiga_solutions,lateralization_solutions,stress_correct_F3,stress_correct_F4,fadiga,lateralization,stress_incorrect_F3,stress_incorrect_F4,fadiga_incorrect,lateralization_incorrect,imersion_display ,imersion_solutions ,imersion_correct ,imersion_incorrect ,P100_Pz_peak_display,P100_Pz_latency_display,P100_Cz_peak_display,P100_Cz_latency_display,P100_Pz_peak_solutions,P100_Pz_latency_solutions,P100_Cz_peak_solutions,P100_Cz_latency_solutions,P100_Pz_peak_correct,P100_Pz_latency_correct,P100_Cz_peak_correct,P100_Cz_latency_correct,P100_Pz_peak_incorrect,P100_Pz_latency_incorrect,P100_Cz_peak_incorrect,P100_Cz_latency_incorrect,P300_mean_Cz_display,P300_mean_Pz_display,P300_mean_Cz_solutions,P300_mean_Pz_solutions,P300_mean_Cz_correct,P300_mean_Pz_correct,P300_mean_Cz_incorrect,P300_mean_Pz_incorrect
ESEC,0.30,0.31,7.85,-0.11,6.16,2.56,1.42,-0.37,1.83,1.90,0.80,-0.02,2.11,2.77,1.89,0.16,1.33,3.58,1.04,6.05,2234.70,112.00,-277.77,112.00,-1150.20,78.00,979.20,108.00,3397.8,102,4747.1,104,6996.4,114,2687.7,114,-1571.70,1687.60,2162.30,-1529.60,4777.9,3073.9,-1393.2,1723.3
ESEC,1.14,1.12,0.28,0.01,2.00,2.26,0.43,0.07,3.35,3.52,0.36,0.05,2.43,2.07,1.23,-0.01,0.56,1.19,1.07,4.15,733.68,118.00,3712.90,122.00,31312.00,130.00,-8188.60,102.00,1787.1,116,3360.4,120,-2471.9,108,-2472,110,569.74,1204.60,20290.00,4950.10,-7303.2,-5840,-3240.3,-4002.5
ESEC,0.89,0.96,1.97,0.07,1.81,1.74,0.65,-0.02,2.79,3.28,0.90,0.05,4.18,4.39,1.21,-0.04,0.38,1.10,1.79,1.95,1856.50,114.00,-1635.70,80.00,1891.90,102.00,1681.70,118.00,2038.8,86,1124.1,84,NaN,NaN,-1739.3,90,1763.90,2858.30,458.26,1696.50,1695.8,-2298.3,-2555.1,2455.6
ESEC,,1.57,1.00,-1.00,,5.85,1.55,-1.00,,1.82,0.72,-1.00,,5.58,0.61,-1.00,2.34,10.16,0.52,1.80,-1225.70,98.00,247.72,96.00,4977.50,84.00,3793.40,82.00,790.34,126,1764.8,128,-364.09,104,514.72,104,-561.31,-2015.90,3468.80,3852.60,-2998.4,-6239.7,220.83,-2493.1
ESEC,0.98,0.98,1.27,-0.02,0.77,0.77,3.02,-0.02,2.51,2.52,0.72,-0.02,1.05,1.04,2.64,-0.03,0.19,1.13,0.79,1.77,3394.00,120.00,3639.50,120.00,-15462.00,130.00,-16602.00,108.00,13873,116,12287,116,3537.8,92,2923.1,92,494.47,158.13,-11204.00,-15944.00,-6907.8,-6355.6,-2526.5,1091.2
ESEC,2.87,7.01,2.28,0.31,1.92,1.46,0.35,0.03,7.69,2.89,0.33,-0.42,2.64,1.66,0.93,-0.33,2.18,1.92,1.05,2.66,-3032.80,100.00,-2203.90,100.00,1146.10,84.00,2115.60,84.00,4840.5,130,3187.4,110,6958.4,96,7487.5,96,205.32,-157.60,1459.00,1809.90,2581.6,3540.2,42.595,-996.51
ESEC,3.11,6.80,0.67,0.37,0.75,1.05,1.17,0.06,2.26,1.98,1.79,-0.17,2.05,1.22,1.62,-0.28,2.51,0.42,1.11,1.43,-1475.30,74.00,244.91,74.00,2252.20,92.00,4352.20,126.00,4573.4,90,3511.2,90,3100.6,104,5475.9,104,-2200.20,-754.82,2812.30,-1424.30,2313.9,2773.8,2881.8,1764.9
ESEC,1.42,1.37,0.94,-0.04,0.60,0.62,0.78,0.01,3.39,3.73,0.44,0.03,2.94,2.58,2.36,-0.08,0.20,0.58,0.77,4.07,3085.80,114.00,135.79,128.00,-1931.00,112.00,-2456.60,108.00,2695.6,116,-332.53,130,3666.2,82,622.61,126,-728.41,2512.70,-1564.60,-233.25,-240.11,-640.53,648.92,8389.8
ESEC,1.81,2.34,0.82,0.07,9.52,8.57,2.21,-0.05,1.70,1.86,1.19,-0.01,4.29,4.69,0.49,-0.02,0.44,3.88,0.25,4.08,1010.30,106.00,741.28,82.00,1057.10,118.00,1002.80,118.00,1388.2,104,57.591,76,144.98,110,725.05,110,-333.31,3090.00,657.26,1583.70,-1172.7,-2701.9,-4235,3809.1
ESEC,3.43,7.22,0.18,0.45,2.56,3.27,1.42,0.25,1.09,0.53,1.94,-0.35,8.76,3.42,1.19,-0.36,0.44,2.14,0.90,1.66,-1350.00,92.00,-1361.00,92.00,-335.77,90.00,-378.97,88.00,-347.85,112,1101.8,114,3183.6,110,-613.95,110,-2465.30,-1178.50,-301.64,1634.70,1400.7,-3568.8,-2217.1,2098.7
ESEC,4.15,4.00,0.98,-0.05,2.30,2.80,0.72,0.07,1.31,1.49,1.19,0.06,0.51,1.08,2.46,0.32,1.81,1.89,0.64,1.81,4905.50,126.00,1241.30,126.00,393.21,122.00,-305.92,102.00,902.12,122,3685.2,122,3081.8,82,5901.4,86,-3626.00,165.99,3397.90,1950.30,5299.4,1566.1,7652.3,4141.9
ESEC,2.94,8.68,1.40,0.49,1.68,1.58,1.02,-0.08,0.81,1.08,1.87,0.20,3.60,2.93,0.96,-0.16,0.91,0.67,1.16,0.94,-17208.00,74.00,-3078.50,76.00,17.75,90.00,-1241.90,94.00,7578.5,98,11826,102,23306,80,17062,84,-8180.40,-8070.80,-1137.00,37.89,17741,15235,26209,34135
ESEC,2.52,2.57,1.40,-0.01,2.77,2.71,0.57,-0.03,1.75,1.82,1.46,0.00,3.89,3.85,1.05,-0.02,2.63,1.21,1.22,3.24,791.95,96.00,9395.60,96.00,-7277.40,84.00,-7952.00,82.00,-2435.3,82,-9523.8,84,-13931,98,-9658.3,114,14838.00,6791.30,-5235.70,-3796.60,13094,15987,-77445,-43756
ESEC,2.16,1.01,0.64,-0.22,2.32,4.17,1.37,0.09,2.16,1.39,1.72,-0.12,2.84,1.56,0.85,-0.17,0.46,2.30,2.10,1.13,3821.20,116.00,3207.80,116.00,NaN,NaN,-487.80,88.00,4267.3,130,4881.4,130,5721.4,104,3260.2,104,1287.60,942.46,907.37,1093.30,934.8,1060.6,-749.6,545.9
ESEC,2.89,2.28,0.95,-0.25,2.11,7.45,0.75,0.61,4.34,3.07,0.74,-0.13,1.85,1.72,0.79,-0.09,2.22,0.10,2.01,0.91,-1507.10,114.00,59.98,118.00,1307.80,96.00,3127.10,98.00,2102.4,104,1822.7,104,-3655.3,122,-4699.8,124,-2889.20,-4423.00,1552.70,205.60,9406.9,4707.4,2024,1223.3
DEI,3.03,2.36,1.26,-0.27,3.78,0.92,0.77,-0.47,1.61,0.56,2.32,-0.23,2.47,0.88,2.20,-0.29,2.18,0.64,0.58,1.91,5117.80,82.00,5864.70,84.00,4833.40,90.00,2177.70,116.00,300.3,96,1333.6,74,NaN,NaN,10926,102,3.59,-1431.20,812.98,3309.9,-1203.1,-6113.5,7719.8,21936
DEI,3.46,3.08,0.63,-0.06,6.20,6.73,0.30,0.05,7.25,7.93,0.53,0.02,1.51,1.81,3.75,0.05,1.47,1.28,2.51,6.48,4798.80,104.00,6174.30,86.00,3419.30,120.00,2802.60,88.00,6784.5,118,1633.3,116,17817,84,2189.4,82,-4194.60,3281.30,4368.40,562.54,-5114.1,-1932.4,-14094,23412
DEI,1.47,1.67,1.19,0.07,1.50,1.61,1.05,0.05,4.60,4.90,0.58,0.07,1.51,1.81,3.75,0.05,0.66,0.48,1.53,6.48,7129.30,102.00,6003.20,102.00,22752.00,126.00,20669.00,126.00,2972.2,116,3441.2,116,17817,84,2189.4,82,2878.00,6227.50,4357.80,3515.7,-2004.6,-3474.7,-14094,23412
DEI,1.93,4.76,0.88,0.39,1.36,1.60,1.12,0.00,7.09,8.32,1.01,0.07,1.51,1.81,3.75,0.05,23.54,1.34,4.70,6.48,,0.00,4378.80,92.00,2365.20,74.00,6944.40,120.00,5092.6,104,1403,100,17817,84,2189.4,82,-1932.90,7686.20,1125.00,686.92,562.78,3961.5,-14094,23412
DEI,2.32,2.45,0.51,0.02,4.97,4.67,0.68,-0.04,1.70,1.50,1.43,-0.06,5.14,7.91,0.71,0.21,0.60,2.65,1.12,4.19,1410.40,124.00,4313.40,124.00,1644.70,116.00,709.75,116.00,4085.9,106,1672.7,108,-3259.4,112,679.95,112,4140.20,20.08,1167.90,1471.5,-1609.1,3597.2,-10720,-15886
DEI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2460.30,102.00,-3413.20,102.00,6877.30,84.00,6184.80,86.00,-2946.2,100,-3620.4,102,4981.2,106,-1291.1,106,-2387.50,-2776.70,987.28,-1121.4,-7260.3,-7421.9,-15018,-11380
DEI,1.54,1.65,1.38,0.00,2.03,2.09,0.90,-0.02,1.69,1.87,0.75,0.00,3.66,3.80,0.57,0.02,1.53,0.97,0.29,1.10,1332.50,116.00,2456.10,116.00,2340.30,116.00,2512.30,116.00,7952.9,118,6923.5,118,8112.6,104,9361.1,104,-2013.30,-3367.40,1007.10,361.62,7662.5,8124.5,-1792.4,-2514.7
DEI,6.52,7.98,0.32,0.13,1.30,1.24,0.82,0.02,2.46,2.47,0.62,0.02,3.66,3.80,0.57,0.02,1.08,0.03,0.45,1.10,281.93,114.00,1738.90,116.00,863.28,104.00,1662.40,104.00,3618.2,116,2887.4,116,8112.6,104,9361.1,104,4667.70,-645.74,174.99,-3626.7,-3451.4,-2497.2,-1792.4,-2514.7
DEI,1.20,0.90,0.90,0.01,1.82,1.74,1.64,0.04,3.69,4.51,0.69,0.17,1.00,1.17,1.68,0.13,0.28,1.71,1.58,0.66,-453.78,122.00,-967.49,122.00,4059.70,120.00,-66.47,82.00,-3236.3,114,-3301.7,114,10913,120,1352.9,118,1167.50,-544.12,-59.56,398.12,-12556,-11976,426.13,10240
DEI,0.82,0.81,2.52,-0.03,1.07,1.09,1.56,0.00,1.11,1.10,3.83,-0.02,1.12,1.35,1.24,0.04,1.06,0.73,3.24,0.61,5690.80,120.00,19264.00,120.00,-1402.20,112.00,-195.40,114.00,5072.9,122,3943.8,122,3262.6,84,NaN,NaN,32160.00,20860.00,5303.80,46.343,-2197.4,3837,-939.23,1324.6
DEI,28.45,0.86,0.80,-0.97,1.24,1.76,2.23,-0.02,2.04,3.12,1.60,0.13,0.94,0.37,3.76,-0.76,2.57,1.58,2.75,1.62,-3809.60,108.00,1229.90,84.00,NaN,NaN,NaN,NaN,2340.9,88,2016.5,84,997.77,126,-2261.4,122,-2016.10,-3762.80,-2104.50,-2108.1,-1869.5,-1988.3,1185.1,3190.2
DEI,3.43,3.01,0.67,-0.07,1.43,1.93,0.99,0.13,36.46,16.30,0.45,-0.49,8.13,4.27,1.64,-0.28,0.86,0.95,7.49,6.80,-6464.80,98.00,-6327.50,98.00,4334.20,128.00,5858.80,128.00,5603.3,86,4206.4,86,1047.2,88,8461.4,88,-4246.80,-7254.20,3624.70,1006.7,-4382.2,453.89,-3965.6,-6001.3
DEI,1.12,1.29,1.80,0.07,1.41,1.43,1.83,0.01,1.91,1.88,2.62,-0.09,8.13,4.27,1.64,-0.28,0.10,1.18,2.16,6.80,6112.50,128.00,6114.40,130.00,3851.80,104.00,3789.60,126.00,-6589.8,100,-2095.3,104,1047.2,88,8461.4,88,2846.10,1495.80,1668.90,606.62,-6982.3,-9277.5,-3965.6,-6001.3
DEI,0.96,0.95,1.28,-0.22,1.24,1.16,0.99,-0.15,4.76,5.34,1.09,0.06,8.13,4.27,1.64,-0.28,0.22,0.24,3.32,6.80,4132.10,114.00,4223.10,114.00,3959.20,126.00,901.27,128.00,5676.3,120,704.54,120,1047.2,88,8461.4,88,15947.00,16633.00,5929.30,8675.1,4066,1813.9,-3965.6,-6001.3
