P100 PZ PEAK DISPLAY,P100 PZ LATENCY DISPLAY,P100 CZ PEAK DISPLAY ,P100 CZ LATENCY DISPLAY,P300 CZ MEAN AMPLITUDE DISPLAY,P300 PZ MEAN AMPLITUDE DISPLAY,STRESS F3 DISPLAY,STRESS F4 DISPLAY,FATIGUE DISPLAY,LATERALIZATION DISPLAY,IMMERSION DISPLAY,P100 PZ PEAK SOLUTIONS,P100 PZ LATENCY SOLUTIONS,P100 CZ PEAK SOLUTIONS,P100 CZ LATENCY SOLUTIONS,P300 CZ MEAN AMPLITUDE SOLUTIONS,P300 PZ MEAN AMPLITUDE SOLUTIONS,STRESS F3 SOLUTIONS,STRESS F4 SOLUTIONS,FATIGUE SOLUTIONS,LATERALIZATION SOLUTIONS,IMMERSION SOLUTIONS,Type
3957.197295,84,6224.671829,84,1995.978042,469.6536056,11.24349315,11.49096245,0.154793712,0.024280339,0.484754735,5167.027325,94,8414.613466,94,7686.767219,4759.997908,7.618538419,7.865143442,0.693056923,0.035596763,5.713288297,Training
-2247.952913,122,-7868.055407,124,-5222.729839,-8031.508405,9.484417377,5.631495204,0.239061518,-0.239914233,0.299197268,18125.39286,106,7247.968031,108,-2118.250581,426.173277,3.810884751,6.478229206,0.640280481,0.251969433,0.466832646,Training
13629.30998,118,12428.01906,118,294.2902038,-16.73895384,8.462930547,7.546138196,0.307071699,-0.078886464,1.485570259,13892.65885,116,13784.69173,114,12875.23552,12950.27305,14.57547973,20.29060285,0.483896213,0.142797361,6.116041925,Training
9021.742566,106,2732.832425,106,349.4692701,7303.39378,1.656807222,1.76942558,0.696051547,0.065409554,0.185972436,9511.576478,96,19970.50602,96,-10825.18202,-12451.77832,3.110521669,3.22908707,0.525873269,0.038093106,0.618345337,Training
16226.06204,118,16933.92547,118,6792.458283,7498.988337,1.086941914,1.375952985,1.806614174,0.192398698,1.132369082,-5969.028178,92,-12214.52954,92,-785.1705094,399.4944934,2.914432709,3.321909019,0.660112414,0.108795309,1.042237355,Training
5632.661174,98,4613.053449,96,1719.670206,3439.106517,0.631813306,0.628376394,2.238627149,0.015075157,0.406530876,9055.378075,110,12107.90242,110,5674.12549,3195.504194,2.247243898,2.017341734,0.929132934,-0.028548425,0.954027481,Training
-4564.246562,112,3826.267694,114,1266.9799,-5518.118906,2.258445161,0.8750388,1.462292316,-0.495768431,3.662014047,-1543.400602,106,2709.098432,108,-2812.100789,-5918.181316,3.030063901,2.526698917,0.457588346,-0.187407731,1.576736815,Training
9643.011183,98,8486.683397,98,-15428.94488,-5093.377526,1.220750587,1.346087089,2.705724244,0.02558041,2.619334754,10980.18092,86,12954.66631,86,5199.585536,4582.115667,3.913359687,5.519686169,0.540978771,0.151151612,1.232827734,Training
19234.43411,130,8092.786636,106,5568.716231,-788.9974584,2.884833246,4.806489257,1.234454393,0.243415544,1.06403766,5495.146474,118,5613.464432,120,-5127.684151,-475.8034874,1.182140048,1.224409156,2.671608274,0.015380008,0.450936353,Training
37392.46216,118,36082.79425,118,29725.64338,29493.95271,1.034325253,2.842914056,0.448144604,0.336681633,0.508715607,-9710.588037,96,1999.503548,130,13664.23987,12779.04273,8.475181845,3.824782191,0.663728473,-0.345566112,3.045266938,Training
6525.738999,118,18196.23333,94,4352.028778,-1134.533051,2.100576802,2.597518871,1.381702345,0.026242809,0.316197631,4627.38843,98,-2403.639813,98,-10639.61718,-3757.334637,18.29473858,4.350708468,2.53009928,-0.575015148,0.373808084,Training
3755.887961,108,2957.143223,100,-2336.550627,-1751.405076,2.053369846,20.18059427,0.516248188,0.644425978,0.217928294,20383.83065,130,6757.177416,130,4345.637563,17664.1607,4.777611424,4.681224155,1.129265918,-0.067090492,0.113966643,Training
-10194.70785,110,-6936.769346,110,-7123.056949,-7120.462793,6.499851367,2.190868665,0.649845193,-0.364033275,0.671938119,7671.926274,106,5745.71716,106,-1588.197227,-937.3998864,3.548568512,4.006850284,1.014884793,-0.002226473,3.793530448,Training
-11296.26576,114,440.8521029,112,-1815.724978,3846.863173,1.511820963,1.307674531,1.389716401,0.058526704,2.422473087,23247.93376,112,23584.85307,130,19184.97348,19838.59919,0.591320083,0.747716254,2.376874362,0.211098852,0.550256094,Training
7534.096314,80,11261.56723,80,6177.187866,-2569.824229,1.130613553,1.245590254,1.683874185,-0.144903423,0.722108102,-6625.151443,86,-3026.401418,86,-6093.399977,-7417.856045,21.58326477,2.241323118,0.289289754,-0.768784034,7.459702663,Training
-30982.08764,78,-2901.760703,130,-12436.22035,-38583.51921,0.860435536,0.9427897,1.609836583,0.03502967,0.671855665,19016.92573,112,608.761157,86,-14013.23856,8913.057508,2.425237294,2.158712682,1.410989536,-0.055633566,3.068661768,Training
-11784.30425,86,8874.424183,88,-2258.371536,604.5290836,2.289838104,3.27898946,1.803963444,0.324871917,3.111862602,19592.45091,84,17974.63934,88,4312.37442,26782.77117,12.94411222,2.755450583,3.075822737,-0.471318661,8.003310149,Training
