P100 PZ PEAK DISPLAY,P100 PZ LATENCY DISPLAY,P100 CZ PEAK DISPLAY ,P100 CZ LATENCY DISPLAY,P300 CZ MEAN AMPLITUDE DISPLAY,P300 PZ MEAN AMPLITUDE DISPLAY,STRESS F3 DISPLAY,STRESS F4 DISPLAY,FATIGUE DISPLAY,LATERALIZATION DISPLAY,IMMERSION DISPLAY,P100 PZ PEAK SOLUTIONS,P100 PZ LATENCY SOLUTIONS,P100 CZ PEAK SOLUTIONS,P100 CZ LATENCY SOLUTIONS,P300 CZ MEAN AMPLITUDE SOLUTIONS,P300 PZ MEAN AMPLITUDE SOLUTIONS,STRESS F3 SOLUTIONS,STRESS F4 SOLUTIONS,FATIGUE SOLUTIONS,LATERALIZATION SOLUTIONS,IMMERSION SOLUTIONS,Type
-3958.117345,112,-1396.168281,80,-5807.179812,-1113.392827,6.548030436,6.454125132,0.3062031629,-0.01388294225,1.251036919,8124.268174,106,-164.1951825,104,-9672.19307,4767.541356,8.758634921,8.358268419,0.6825375558,-0.03558560535,3.820495299,Training
21380.05189,128,10643.05633,94,1932.618477,26134.24751,3.653555471,3.106175286,8.589933547,-0.1261473023,3.992030107,24954.41958,106,19887.18479,112,8754.757711,18045.02568,3.322101564,5.057822079,2.329621275,0.3495558083,20.06035254,Training
7297.895946,102,10514.62235,102,-9076.510601,-759.6652374,2.422006767,2.837132634,0.6771331614,0.04195497957,0.9839609062,6526.742623,84,-1741.922393,82,-9779.635706,2168.374679,9.086072078,6.921250143,0.1722367581,-0.142613931,0.4571246592,Training
36310.97762,102,50138.53839,102,15828.08401,-3965.197561,1.031048137,1.038145991,1.522378092,0.02026014862,0.5765134954,31299.11452,128,43710.27512,98,20797.94883,10661.74717,4.390911874,4.642203432,0.4735750768,0.06228208261,0.9344079294,Training
-376.9860482,100,16214.82639,126,1719.96845,-20796.45242,0.6992801871,0.7846138859,1.127335263,-0.0005588224793,0.1444050594,34711.16503,116,13669.38166,78,-4333.912791,-12802.64537,2.706504566,3.104663475,1.015411972,0.02245481543,3.992267581,Training
16792.56309,86,20079.63974,86,13517.60894,4369.097821,3.482681463,3.504129662,0.4941260647,0.005767049257,0.6054653457,3538.690304,110,3198.738101,110,-6732.226991,-13817.50921,2.956998836,2.821364151,0.8318874168,-0.0466814004,0.8319606663,Training
16963.59681,124,17237.07664,128,-10741.1909,-4257.612529,4.956120622,1.757272092,0.5169963614,-0.3820420627,0.1805882129,23930.94745,122,22792.28498,126,-5044.270494,2152.832019,5.204162338,2.969557772,0.5701191594,-0.2674069779,1.721611274,Training
11115.70508,74,9168.842644,74,-5682.829337,-3430.458868,8.593138339,8.225590815,1.125335357,-0.00801395733,7.771840284,4282.58018,114,5285.65996,114,3085.347791,5000.80665,13.09172478,10.80049919,0.5651395171,-0.1048660157,5.6024362,Training
21052.01712,112,17946.87998,112,2203.988447,-6750.224685,5.794195708,4.779085739,0.2996898449,-0.09066731279,0.6731982629,8528.009258,90,-846.232642,90,-7461.503249,1727.802091,1.354578404,1.215267332,1.773346562,-0.02752236956,1.340707458,Training
,,,,-2553.343237,-4417.35359,0.7718930227,0.6119973804,1.969368464,0.02684793224,0.5083812984,13264.52458,82,9091.735274,82,4003.085532,5774.076272,3.7510776,6.55772148,1.021719159,0.3690476684,3.691905795,Training
6281.999948,90,-4380.036068,88,-16337.45156,-1505.148319,3.924280635,4.496528332,0.2801967816,0.04755993329,0.2488365453,5232.684848,86,1370.312025,88,10504.9088,10119.71645,1.001889014,1.105314207,1.096828269,0.00375788031,0.1391022801,Training
8554.605229,108,-2038.330799,110,2778.845618,4851.56168,0.8492413674,0.9520867429,1.632151038,-0.4050189949,0.7096226616,708.4045697,130,-6451.556891,130,-593.2122553,-36.39892781,3.233098663,0.6489319604,0.4316042939,-0.5586318109,0.582008889,Training
5818.526616,102,7987.487397,102,3292.141035,-1499.672391,0.813119116,0.8485979279,2.880388674,0.1252084195,1.463607881,15439.86277,84,17700.65882,84,8695.397286,8041.731308,10.08205416,5.17445812,0.8999283603,-0.3130802562,3.333597656,Training
36607.7192,128,31545.18674,130,22863.40731,17376.31847,1.580655589,2.037238507,1.164124081,0.06396120877,1.095624521,6929.11519,96,1088.006148,98,-9548.409367,1909.704881,4.670736015,8.220433261,1.043422657,0.2467131731,3.64030857,Training
712.0366146,86,8998.967399,88,-5908.63485,-15328.79442,1.676828159,1.752366005,1.519730781,-0.1115896291,0.7742380156,7081.663463,104,11165.374,86,13443.98604,11289.74785,4.372298814,5.390949568,0.2725915295,0.1381911051,1.304346034,Training
6473.357891,108,12335.09271,92,-6309.491594,-1578.284445,6.956253524,3.181975278,0.6278886701,-0.3431305675,1.201134138,15259.89744,116,16592.73395,114,-1598.789586,3356.081001,3.4687892,6.599547064,1.201335176,0.3524249877,1.788413648,Training
4807.993708,130,2947.673705,126,-212.3276683,-5793.102772,12.153461,49.38901876,0.287202365,0.4643833768,1.173289722,7276.151028,110,,,10928.15863,18667.8748,1.540792712,1.900562906,0.7583344092,-0.09608043509,6.905237908,Training
12393.9113,110,16726.76589,110,2592.249262,7.296104355,2.891257946,1.766686405,0.6067613439,0.04861868558,0.1596989651,7049.323293,104,4035.912448,104,-3411.907695,-3566.526636,6.506500599,4.881745312,0.6290694709,-0.002391315236,0.9899527972,Training
12324.7298,78,,,4398.850116,3976.610403,3.04303838,3.193845572,0.5249108479,0.1048713959,0.7003106478,7725.947316,86,14924.38456,84,3565.480295,-6255.204574,1.440194365,1.477513771,1.288499004,0.03496002272,0.5162072632,Training
5689.340393,114,6554.945219,112,-2370.092116,-6432.900606,2.158434552,1.131876732,0.8943868188,-0.3580469581,0.5566087895,-16.31285136,74,12753.86393,74,2869.095891,-9689.262351,5.641966091,2.745860297,0.9353921328,-0.2612345315,2.713499198,Training
-7850.498997,120,12449.87392,120,-670.7408908,-28399.834,2.236425174,2.262415316,0.7428158157,0.005858996938,0.09981836645,35415.69952,130,2765.431308,128,-3368.533243,28675.53865,62.73549044,45.05308695,1.7419207,-0.1538261165,38.24467724,Training
17348.75828,114,4582.648522,114,-5546.648221,16840.45286,21.60041998,1.684895627,2.734648286,-0.8851582831,2.036271577,9595.533089,114,512.0672278,116,1778.711586,-3697.973075,0.7157589139,1.591187156,1.593550673,0.5084167993,0.9985108169,Training
9976.757934,80,25581.61914,80,5656.931297,2977.438962,1.581509598,1.76730394,0.6218508205,0.05430582874,0.2850264302,15221.99121,96,12725.7792,96,-19055.47127,-2968.63303,3.438982652,2.955869772,1.023380247,-0.08496507063,1.707720697,Training
59413.78453,124,53010.06187,124,21300.53226,29164.2843,3.236702285,3.352554597,0.5976823437,0.0141382384,0.866149993,39027.7881,78,31369.28295,78,-2694.790869,-4372.837849,6.529394007,6.533841686,0.3932809173,0.01109805157,1.570658773,Training
14030.71115,128,7190.80074,88,-10521.04277,18999.08161,4.005214652,3.66372652,0.5812636798,-0.01107392309,0.6014287156,6941.76586,122,12843.30584,128,5680.821891,4649.548704,0.4094499917,0.4353904,1.824054058,0.03288805101,2.571117331,Training
3957.197295,84,6224.671829,84,1995.978042,469.6536056,11.24349315,11.49096245,0.1547937117,0.02428033946,0.4847547348,5167.027325,94,8414.613466,94,7686.767219,4759.997908,7.618538419,7.865143442,0.6930569231,0.03559676299,5.713288297,Training
-2247.952913,122,-7868.055407,124,-5222.729839,-8031.508405,9.484417377,5.631495204,0.2390615178,-0.239914233,0.2991972681,18125.39286,106,7247.968031,108,-2118.250581,426.173277,3.810884751,6.478229206,0.6402804814,0.2519694329,0.4668326458,Training
13629.30998,118,12428.01906,118,294.2902038,-16.73895384,8.462930547,7.546138196,0.307071699,-0.0788864642,1.485570259,13892.65885,116,13784.69173,114,12875.23552,12950.27305,14.57547973,20.29060285,0.4838962129,0.1427973612,6.116041925,Training
9021.742566,106,2732.832425,106,349.4692701,7303.39378,1.656807222,1.76942558,0.6960515468,0.06540955389,0.1859724357,9511.576478,96,19970.50602,96,-10825.18202,-12451.77832,3.110521669,3.22908707,0.525873269,0.0380931063,0.6183453369,Training
16226.06204,118,16933.92547,118,6792.458283,7498.988337,1.086941914,1.375952985,1.806614174,0.1923986984,1.132369082,-5969.028178,92,-12214.52954,92,-785.1705094,399.4944934,2.914432709,3.321909019,0.660112414,0.1087953094,1.042237355,Training
5632.661174,98,4613.053449,96,1719.670206,3439.106517,0.6318133064,0.6283763942,2.238627149,0.01507515737,0.4065308762,9055.378075,110,12107.90242,110,5674.12549,3195.504194,2.247243898,2.017341734,0.9291329337,-0.02854842457,0.9540274808,Training
-4564.246562,112,3826.267694,114,1266.9799,-5518.118906,2.258445161,0.8750387997,1.462292316,-0.4957684307,3.662014047,-1543.400602,106,2709.098432,108,-2812.100789,-5918.181316,3.030063901,2.526698917,0.4575883464,-0.1874077315,1.576736815,Training
9643.011183,98,8486.683397,98,-15428.94488,-5093.377526,1.220750587,1.346087089,2.705724244,0.0255804104,2.619334754,10980.18092,86,12954.66631,86,5199.585536,4582.115667,3.913359687,5.519686169,0.5409787715,0.1511516123,1.232827734,Training
19234.43411,130,8092.786636,106,5568.716231,-788.9974584,2.884833246,4.806489257,1.234454393,0.2434155443,1.06403766,5495.146474,118,5613.464432,120,-5127.684151,-475.8034874,1.182140048,1.224409156,2.671608274,0.01538000842,0.4509363533,Training
37392.46216,118,36082.79425,118,29725.64338,29493.95271,1.034325253,2.842914056,0.4481446036,0.3366816335,0.5087156067,-9710.588037,96,1999.503548,130,13664.23987,12779.04273,8.475181845,3.824782191,0.6637284729,-0.3455661121,3.045266938,Training
6525.738999,118,18196.23333,94,4352.028778,-1134.533051,2.100576802,2.597518871,1.381702345,0.02624280903,0.3161976306,4627.38843,98,-2403.639813,98,-10639.61718,-3757.334637,18.29473858,4.350708468,2.53009928,-0.5750151484,0.3738080843,Training
